"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/09/2022";"1100";"10,8";"10,8";"6,0";"92,0";"93,0";"92,0";"9,6";"9,6";"5,0";"1026,1";"1026,1";"1025,4";"0,6";"130,0";"1,8";"358,10";"0,0"
"05/09/2022";"1200";"14,3";"14,3";"10,8";"77,0";"92,0";"76,0";"10,2";"11,9";"9,8";"1027,0";"1027,0";"1026,1";"1,4";"71,0";"2,6";"1167,90";"0,0"
"05/09/2022";"1300";"15,3";"15,6";"14,3";"67,0";"77,0";"66,0";"9,1";"10,6";"9,0";"1027,2";"1027,3";"1027,0";"2,3";"70,0";"3,9";"1860,60";"0,0"
"05/09/2022";"1400";"16,2";"16,8";"15,3";"57,0";"69,0";"57,0";"7,8";"9,8";"7,8";"1027,3";"1027,3";"1027,2";"2,6";"101,0";"5,0";"2360,40";"0,0"
"05/09/2022";"1500";"16,2";"17,3";"16,1";"56,0";"60,0";"56,0";"7,5";"8,9";"7,5";"1026,9";"1027,3";"1026,9";"3,1";"92,0";"5,3";"2640,80";"0,0"
"05/09/2022";"1600";"16,8";"17,3";"16,1";"56,0";"59,0";"55,0";"7,9";"9,1";"7,4";"1026,3";"1026,9";"1026,3";"3,3";"99,0";"6,1";"2760,90";"0,0"
"05/09/2022";"1700";"16,9";"18,0";"16,6";"57,0";"59,0";"55,0";"8,3";"9,6";"7,9";"1025,9";"1026,3";"1025,9";"3,6";"103,0";"7,0";"2654,40";"0,0"
"05/09/2022";"1800";"16,9";"17,5";"16,8";"58,0";"59,0";"55,0";"8,6";"9,1";"7,9";"1025,6";"1026,0";"1025,6";"4,1";"81,0";"7,9";"2363,70";"0,0"
"05/09/2022";"1900";"16,4";"17,5";"16,3";"62,0";"62,0";"56,0";"8,9";"9,2";"8,1";"1025,2";"1025,6";"1025,2";"3,8";"91,0";"7,7";"1846,60";"0,0"
"05/09/2022";"2000";"16,0";"16,7";"15,9";"61,0";"62,0";"60,0";"8,6";"9,3";"8,5";"1025,0";"1025,2";"1024,9";"3,5";"87,0";"7,6";"1143,90";"0,0"
